Request ID,Feature Title,Description,Product,Request Channel,Customer Type,Priority,Status,Type,Requested By,Request Date,Business Value,Implementation Complexity,Customer Impact
FR-001,AI-Powered Priority Scoring,"Implement an AI system that automatically scores and prioritizes feature requests based on customer impact, business value, and implementation complexity",Peem,Customer Interview,Enterprise,High,Open,Feature,Product Manager,2024-01-01,High,Medium,High
FR-002,Custom Dashboard Layouts,"Allow users to customize their dashboard layout with drag-and-drop widgets, saved layouts, and personalized metrics",Peem,Internal Team,All,Medium,In Progress,UX,UX Designer,2024-01-02,Medium,Medium,High
FR-003,Jira Integration,"Enable bi-directional sync with Jira including automatic ticket creation, status updates, and comment synchronization",Peem,Customer Support,Enterprise,High,Planned,Integration,Technical Lead,2024-01-03,High,High,Medium
FR-004,Advanced Analytics Dashboard,"Create a comprehensive analytics dashboard showing feature request trends, customer segment analysis, and priority distribution",Peem,Customer Interview,Enterprise,High,Open,Analytics,Product Manager,2024-01-04,High,High,High
FR-005,Bulk Import/Export,"Add functionality to bulk import feature requests from CSV/Excel and export data in multiple formats (CSV, Excel, PDF)",Peem,Internal Team,All,Medium,In Progress,Feature,Product Manager,2024-01-05,Medium,Low,Medium
FR-006,Custom Fields Support,"Allow teams to create and manage custom fields for feature requests with different field types (text, number, dropdown, etc.)",Peem,Customer Interview,Enterprise,High,Planned,Feature,Product Manager,2024-01-06,High,Medium,High
FR-007,Team Collaboration Tools,"Implement @mentions, comments, and notifications for better team collaboration on feature requests",Peem,Internal Team,All,Medium,Open,Collaboration,Product Manager,2024-01-07,High,Medium,High
FR-008,API Documentation,"Create comprehensive API documentation with interactive examples and SDK support for major programming languages",Peem,Customer Support,Developer,High,In Progress,Documentation,Technical Lead,2024-01-08,High,Medium,Medium
FR-009,Mobile App Support,"Develop native mobile apps for iOS and Android with core feature request management capabilities",Peem,Customer Interview,All,High,Planned,Mobile,Product Manager,2024-01-09,High,High,High
FR-010,SSO Integration,"Implement Single Sign-On (SSO) support for major providers (Google, Microsoft, Okta)",Peem,Customer Support,Enterprise,High,Open,Security,Security Team,2024-01-10,High,Medium,Medium
FR-011,Customer Portal,"Create a customer-facing portal for submitting and tracking feature requests",Peem,Customer Interview,All,High,In Progress,Feature,Product Manager,2024-01-11,High,High,High
FR-012,Advanced Search,"Implement advanced search functionality with filters, saved searches, and boolean operators",Peem,Internal Team,All,Medium,Planned,Feature,UX Designer,2024-01-12,Medium,Medium,High
